miRNA	Metabolite	coef_Endo2
hsa-miR-191-5p	1-methylguanine	-0.091395318
hsa-miR-199a-3pXhsa-miR-199b-3p	1-methylguanine	-0.654780594
hsa-let-7g-5p	taurine	0.588344556
hsa-miR-199a-5p	1-methylguanine	-0.358686581
hsa-miR-2110	1-methylguanine	-0.471677877
hsa-miR-215-5p	1-methylguanine	-0.602595685
hsa-miR-221-5p	1-methylguanine	-0.356527024
hsa-miR-22-3p	1-methylguanine	0.150283489
hsa-miR-23b-3p	1-methylguanine	-0.339946447
hsa-miR-23b-5p	1-methylguanine	-0.69430475
hsa-let-7g-5p	LPE(22:6)	0.015880512
hsa-miR-24-3p	1-methylguanine	-0.219818004
hsa-miR-28-5p	1-methylguanine	-0.574988471
hsa-miR-30d-5p	1-methylguanine	-0.084873022
hsa-miR-30e-5p	1-methylguanine	-0.270626858
hsa-let-7i-3p	DG(38:4)	0.809941883
hsa-miR-323b-3p	1-methylguanine	-0.459669024
hsa-miR-326	1-methylguanine	-0.375171275
hsa-miR-328-3p	1-methylguanine	-0.539605437
hsa-miR-329-3p	1-methylguanine	-0.435268222
hsa-miR-335-3p	1-methylguanine	-0.49929876
hsa-miR-339-3p	1-methylguanine	-0.57346726
hsa-miR-340-3p	1-methylguanine	-0.46517798
hsa-miR-3605-5p	1-methylguanine	-0.567871887
hsa-miR-361-5p	1-methylguanine	-0.543426824
hsa-miR-371b-5p	1-methylguanine	-0.610552176
hsa-miR-374a-5p	1-methylguanine	-0.871793113
hsa-miR-409-3p	1-methylguanine	-0.459426697
hsa-miR-409-5p	1-methylguanine	-0.450408134
hsa-miR-421	1-methylguanine	-1.256133546
hsa-miR-423-3p	1-methylguanine	-0.192909946
hsa-miR-425-3p	1-methylguanine	-0.706397937
hsa-miR-425-5p	1-methylguanine	-0.71585501
hsa-let-7i-3p	N-acetylalanine	0.563808033
hsa-miR-4446-3p	1-methylguanine	-0.440733512
hsa-let-7i-3p	taurine	0.67671636
hsa-miR-486-3p	1-methylguanine	-0.567279986
hsa-miR-500a-3p	1-methylguanine	-0.347902748
hsa-let-7i-3p	Aspartic acid	1.236497023
hsa-miR-500b-3p	1-methylguanine	-0.295528326
hsa-miR-502-3p	1-methylguanine	-0.370615209
hsa-miR-532-5p	1-methylguanine	-0.67984996
hsa-let-7i-3p	15-HETE	0.796911102
hsa-miR-548av-5pXhsa-miR-548k	1-methylguanine	-0.551279312
hsa-miR-625-3p	1-methylguanine	-0.561159671
hsa-miR-628-3p	1-methylguanine	-0.865976382
hsa-miR-652-3p	1-methylguanine	-0.448799873
hsa-miR-654-3p	1-methylguanine	-0.535231905
hsa-miR-664a-5p	1-methylguanine	-0.380810489
hsa-miR-671-3p	1-methylguanine	-0.508865437
hsa-let-7i-3p	Pyruvic acid	0.002873558
hsa-miR-6852-5p	1-methylguanine	-0.531676414
hsa-miR-744-5p	1-methylguanine	-0.472635305
hsa-miR-766-5p	1-methylguanine	-0.699389631
hsa-miR-769-5p	1-methylguanine	-0.60608927
hsa-miR-877-5p	1-methylguanine	-0.69519324
